Niveau_0;Niveau_1;Niveau_2;Niveau_3;Niveau_4;Niveau_5;Niveau_6;Niveau_7;Niveau_8;Niveau_9;"Identifiant";"Type";"Microthésaurus";"Statut";"Définition";"Note d'application";"Synonymes";"Relatifs";"Fiches associées";"CIMU_ID";"LANGUE_ORIGINE";"H&S_Label";"URI_DBPEDIA";
;;;;;;"111.241 Gongs";;;;"LEXICON_00000023";"NT";"Hornbostel - Sachs";"Standard";"Metal percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck with non-sonorous objects (hand, stick, striker). The vibration is strongest near the vertex of the struck surface. The player creates clearly defined individual strokes.";"";"";"LEXICON_00005200;LEXICON_00005199;LEXICON_00002807;LEXICON_00005274";"0";"111.241";"";"Gongs";;
;;;;;;;"111.241.1 (Individual) gongs";;;"LEXICON_00000024";"NT";"Hornbostel - Sachs";"Standard";"Individual metal percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck with non-sonorous objects (hand, stick, striker). The vibration is strongest near the vertex of the struck surface. The player creates clearly defined individual strokes. S. and E. Asia. This group includes the so-called metal drums, or rather kettle-gongs.";"";"";"LEXICON_00004575;LEXICON_00005421;LEXICON_00005502;LEXICON_00002809;LEXICON_00006273;LEXICON_00005212;LEXICON_00005285;LEXICON_00002752";"321";"111.241.1";"";"(Individual) gongs";;
;;;;;;;;"111.241.11 Bossed and flat gongs";;"LEXICON_00006201";"NT";"Hornbostel - Sachs";"Standard";"Metal percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck with non-sonorous objects (hand, stick, striker). The vibration is strongest near the vertex. The player creates clearly defined individual strokes.";"";"";"LEXICON_00002820";"380";"";"";"";;
;;;;;;;;"111.241.12 Gongs with divided surface";;"LEXICON_00000025";"NT";"Hornbostel - Sachs";"Standard";"Metal percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck with non-sonorous objects (hand, stick, striker). The struck surface of the vessel is divided to create notes of different pitches, and the vibration is strongest near the vertex of each struck section. The player creates clearly defined individual strokes. Steel drums, Caribbean.";"";"";"";"0";"111.241.12";"";"Gongs with divided surface";;
;;;;;;;"111.241.2 Sets of gongs";;;"LEXICON_00000026";"NT";"Hornbostel - Sachs";"Standard";"Sets of metal percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck with non-sonorous objects (hand, stick, striker). The vibration is strongest near the vertex of the struck surface. The gongs are tuned to different pitches. The player creates clearly defined individual strokes. [Gong chimes] S.E.Asia.";"";"";"LEXICON_00002808;LEXICON_00006270;LEXICON_00006271;LEXICON_00006272;LEXICON_00005409;LEXICON_00005327;LEXICON_00006800;LEXICON_00002853;LEXICON_00002854";"56";"111.241.2";"";"Sets of gongs";;
;;;;;;;;"111.241.21 Sets of bossed and flat gongs";;"LEXICON_00006202";"NT";"Hornbostel - Sachs";"Standard";"Sets of metal percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck with non-sonorous objects (hand, stick, striker). The vibration is strongest near the vertex. The player creates clearly defined individual strokes. S.E. Asia, E. Asia.";"";"";"";"0";"";"";"";"";
;;;;;;;;"111.241.22 Sets of gongs with divided surface";;"LEXICON_00005532";"NT";"Hornbostel - Sachs";"Standard";"Sets of metal percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck with non-sonorous objects (hand, stick, striker). The struck surface is divided to create notes of different pitches and the vibration is strongest near the vertex of each struck section. The player creates clearly defined individual strokes. Steel drums, Caribbean.";"";"";"";"0";"111.241.22";"";"Sets of gongs with divided surface";;
;;;;;;"111.242 Bells";;;;"LEXICON_00000027";"NT";"Hornbostel - Sachs";"Standard";"Percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck either with non-sonorous objects (hand, stick, striker) or against non-sonorous objects. The vibration is weakest near the vertex of the struck surface. The player creates clearly defined individual strokes.";"";"";"LEXICON_00002390";"1121";"111.242";"";"Bells";;
;;;;;;;"111.242.1 (Individual) bells";;;"LEXICON_00000028";"NT";"Hornbostel - Sachs";"Standard";"Individual percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck either with non-sonorous objects (hand, stick, striker) or against non-sonorous objects. The vibration is weakest near the vertex of the struck surface. The player creates clearly defined individual strokes.";"";"";"LEXICON_00002381;LEXICON_00005655;LEXICON_00005686";"2109";"111.242.1";"";"(Individual) bells";;
;;;;;;;;"111.242.11 (Individual) resting bells";;"LEXICON_00000029";"NT";"Hornbostel - Sachs";"Standard";"Individual percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck with non-sonorous objects (hand, stick, striker). The cup is placed on the palm of the hand or on a cushion; its mouth faces upwards. The vibration is weakest near the crown. The player creates clearly defined individual strokes. China, Indo-China, Japan.";"";"";"LEXICON_00005139;LEXICON_00006274;LEXICON_00002408;LEXICON_00002410;LEXICON_00006318";"311";"111.242.11";"";"(Individual) resting bells";;
