Niveau_0;Niveau_1;Niveau_2;Niveau_3;Niveau_4;Niveau_5;Niveau_6;Niveau_7;Niveau_8;Niveau_9;"Identifiant";"Type";"Microthésaurus";"Statut";"Définition";"Note d'application";"Synonymes";"Relatifs";"Fiches associées";"CIMU_ID";"LANGUE_ORIGINE";"H&S_Label";"URI_DBPEDIA";
;;;"Organette";;;;;;;"LEXICON_00004902";"NT";"Musical instruments";"Standard";"";"";"Mechanical free reed organ";"";"31";"";"";"";;
;;;"Organina";;;;;;;"LEXICON_00006679";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00006487";"0";"";"";"";;
;;;"Panharmonicon";;;;;;;"LEXICON_00004496";"NT";"Musical instruments";"Standard";"";"";"Penharmonikon";"";"0";"";"";"";;
;;;"Phonola";;;;;;;"LEXICON_00006682";"NT";"Musical instruments";"Standard";"";"";"";"";"7";"";"";"";;
;;;"Piano player";;;;;;;"LEXICON_00006578";"NT";"Musical instruments";"Standard";"";"";"Push-up";"";"78";"";"";"";;
;;;"Player piano";;;;;;;"LEXICON_00004497";"NT";"Musical instruments";"Standard";"";"";"Pianola";"";"22";"";"";"";;
;;;"Pneumatic piano";;;;;;;"LEXICON_00006683";"NT";"Musical instruments";"Standard";"";"";"";"";"8";"";"";"";;
;;;"Polyphon";;;;;;;"LEXICON_00004498";"NT";"Musical instruments";"Standard";"";"";"";"";"18";"";"";"";;
;;;"Symphonion";;;;;;;"LEXICON_00006688";"NT";"Musical instruments";"Standard";"";"";"";"";"24";"";"";"";;
;;;"Tingel-tangel";;;;;;;"LEXICON_00006690";"NT";"Musical instruments";"Standard";"";"";"";"";"0";"";"";"";;
;;;"Triola";;;;;;;"LEXICON_00004499";"NT";"Musical instruments";"Standard";"";"";"";"";"0";"";"";"";;
;"Mirlitons";;;;;;;;;"LEXICON_00002347";"NT";"Musical instruments";"Standard";"";"";"";"";"0";;;;;
;;"Mirlitons";;;;;;;;"LEXICON_00002348";"NT";"Musical instruments";"Standard";"";"";"";"";"0";;;;;
;;;"Eunuch flute";;;;;;;"LEXICON_00002349";"NT";"Musical instruments";"Standard";"";"";"Eunuch-flute";"LEXICON_00000139";"8";;;;;
;;;"Kazoo";;;;;;;"LEXICON_00002351";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000139";"26";;;;;
;;;"Mirliton";;;;;;;"LEXICON_00002352";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000139";"63";;;;;
;;;"Nyastaranga";;;;;;;"LEXICON_00002353";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000139";"15";;;;;
;"Other instruments";;;;;;;;;"LEXICON_00002354";"NT";"Musical instruments";"Standard";"";"";"";"";"0";"";"";"";;
;;"Others";;;;;;;;"LEXICON_00002355";"NT";"Musical instruments";"Standard";"";"";"";"";"0";;;;;
;;;"Crystal Baschet";;;;;;;"LEXICON_00002358";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000081";"3";"";"";"";;
;;;"Crystallophone";;;;;;;"LEXICON_00004769";"NT";"Musical instruments";"Standard";"";"";"Cristallophone";"LEXICON_00000018";"12";"";"";"";;
;;;"Dulcitone";;;;;;;"LEXICON_00004932";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00006419";"5";"";"";"";;
;;;"Friction idiophone";;;;;;;"LEXICON_00004838";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000070";"37";"";"";"";;
;;;"Fusu de nuxi";;;;;;;"LEXICON_00006649";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000070";"8";"";"";"";;
;;;"Glasschord";;;;;;;"LEXICON_00002359";"NT";"Musical instruments";"Standard";"";"";"Glacechord";"";"3";;;;;
;;;"Horse's hoof effect";;;;;;;"LEXICON_00006404";"NT";"Musical instruments";"Standard";"";"";"";"";"1";"";"";"";;
;;;"Jaltarang";;;;;;;"LEXICON_00002361";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000022";"6";;;;;
;;;"Klaxon";;;;;;;"LEXICON_00006547";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000235";"16";"";"";"";;
;;;"Mattauphone";;;;;;;"LEXICON_00002362";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000081";"12";;;;;
;;;"Musical glasses";;;;;;;"LEXICON_00002364";"NT";"Musical instruments";"Standard";"";"";"Glasharmonica;Glass armonica";"LEXICON_00000081";"50";;;;;
;;;"Musical saw";;;;;;;"LEXICON_00002368";"NT";"Musical instruments";"Standard";"";"";"";"";"28";;;;;
;;;"Nail violin";;;;;;;"LEXICON_00002369";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000074";"69";;;;;
;;;"Turtle shell";;;;;;;"LEXICON_00006403";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000080";"2";"";"";"";;
;"Percussion instruments";;;;;;;;;"LEXICON_00002370";"NT";"Musical instruments";"Standard";"";"";"";"";"0";"";"";"";;
;;"Bells";;;;;;;;"LEXICON_00002371";"NT";"Musical instruments";"Standard";"";"";"";"";"30";;;;;
;;;"Abanangbweli";;;;;;;"LEXICON_00002372";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00005536";"6";"";"";"";;
;;;"Agogo";;;;;;;"LEXICON_00002373";"NT";"Musical instruments";"Standard";"";"";"Ogebe;Ugebe";"";"2";;;;;
;;;"Agongon";;;;;;;"LEXICON_00005139";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000029";"2";"";"";"";;
;;;"Ambassa";;;;;;;"LEXICON_00002376";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000032";"5";"";"";"";;
;;;"Apertintaille";;;;;;;"LEXICON_00004660";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00005536";"2";"";"";"";;
;;;"Aporo";;;;;;;"LEXICON_00002377";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00005533";"1";"";"";"";;
;;;"Banka";;;;;;;"LEXICON_00002378";"NT";"Musical instruments";"Standard";"";"";"Ekon;Ekong";"";"0";;;;;
;;;"Bell";;;;;;;"LEXICON_00002381";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000028;LEXICON_00005535";"2394";;;;;
;;;"Bells belt";;;;;;;"LEXICON_00006268";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00005536";"13";"";"";"";;
;;;"Bianzhong";;;;;;;"LEXICON_00002382";"NT";"Musical instruments";"Standard";"";"";"Bianschong;Pienchong;Pyeonjong";"";"0";;;;;
;;;"Bozhong";;;;;;;"LEXICON_00002384";"NT";"Musical instruments";"Standard";"";"";"Niuzhong;Pochoong;Sung-chong;Yongzhong";"LEXICON_00000031";"10";;;;;
;;;"Cai tiu";;;;;;;"LEXICON_00006274";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000029";"7";"";"";"";;
;;;"Carillon";;;;;;;"LEXICON_00002387";"NT";"Musical instruments";"Standard";"";"";"Glockenspiel";"LEXICON_00000018";"35";;"French";;;
;;;"Cencerro";;;;;;;"LEXICON_00002389";"NT";"Musical instruments";"Standard";"";"";"";"";"1";;;;;
;;;"Chung";;;;;;;"LEXICON_00006796";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000031";"5";"";"";"";;
;;;"Cowbell";;;;;;;"LEXICON_00002390";"NT";"Musical instruments";"Standard";"";"";"Cow bell;Cow bells;Cowbells";"LEXICON_00000027;LEXICON_00000031";"1426";;;;;
;;;"Dawuro";;;;;;;"LEXICON_00005185";"NT";"Musical instruments";"Standard";"";"";"";"";"2";"";"";"";;
;;;"Dibu";;;;;;;"LEXICON_00002395";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000032";"3";"";"";"";;
;;;"Dibu dimbwa";;;;;;;"LEXICON_00002396";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000032";"0";"";"";"";;
;;;"Dibu dinganga";;;;;;;"LEXICON_00002397";"NT";"Musical instruments";"Standard";"";"";"Dibu di nganga";"LEXICON_00000032";"9";"";"";"";;
;;;"Dotaku";;;;;;;"LEXICON_00002399";"NT";"Musical instruments";"Standard";"";"";"";"";"0";;;;;
;;;"Double bell";;;;;;;"LEXICON_00005498";"NT";"Musical instruments";"Standard";"";"";"";"";"161";"";"";"";;
;;;"Dril-bu";;;;;;;"LEXICON_00002400";"NT";"Musical instruments";"Standard";"";"";"Dril bu;Drilbu";"";"48";;;;;
;;;"Ekiro";;;;;;;"LEXICON_00002401";"NT";"Musical instruments";"Standard";"";"";"Ekirei";"";"4";;;;;
;;;"Electric carillon";;;;;;;"LEXICON_00006622";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00006156";"9";"";"";"";;
;;;"Gentorak";;;;;;;"LEXICON_00005476";"NT";"Musical instruments";"Standard";"";"";"";"";"2";"";"";"";;
;;;"Ghanta";;;;;;;"LEXICON_00002403";"NT";"Musical instruments";"Standard";"";"";"";"";"21";;;;;
;;;"Ghungru";;;;;;;"LEXICON_00004864";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000046";"13";"";"";"";;
;;;"Gshang";;;;;;;"LEXICON_00006651";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000032";"8";"";"";"";;
;;;"Handbell";;;;;;;"LEXICON_00002404";"NT";"Musical instruments";"Standard";"";"";"";"";"758";;;;;
;;;"Hansho";;;;;;;"LEXICON_00002406";"NT";"Musical instruments";"Standard";"";"";"";"";"8";;;;;
;;;"Kili";;;;;;;"LEXICON_00002407";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000032";"4";"";"";"";;
;;;"Kin";;;;;;;"LEXICON_00002408";"NT";"Musical instruments";"Standard";"";"";"Dobachi";"LEXICON_00000029";"0";;;;;
;;;"Klengkleng";;;;;;;"LEXICON_00005263";"NT";"Musical instruments";"Standard";"";"";"";"";"1";"";"";"";;
;;;"Klentong";;;;;;;"LEXICON_00005508";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000032";"6";"";"";"";;
;;;"Lawle";;;;;;;"LEXICON_00002409";"NT";"Musical instruments";"Standard";"";"";"";"";"2";;;;;
;;;"Ling";;;;;;;"LEXICON_00006666";"NT";"Musical instruments";"Standard";"";"";"Fengling";"LEXICON_00000032";"22";"";"";"";;
;;;"Mbombu";;;;;;;"LEXICON_00002410";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000029";"10";"";"";"";;
;;;"Mounkouki";;;;;;;"LEXICON_00008346";"NT";"Musical instruments";"Standard";"Iron double bell, often with a raphia woven handle from the Teke peoples in the Plateaux region of Republic of the Congo";"";"Onkou;Onkoû";"LEXICON_00005533";"10";"";"";"";"";
;;;"Ngonge";;;;;;;"LEXICON_00002687";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000032";"14";;;;;
;;;"Nzunzun";;;;;;;"LEXICON_00005655";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000028";"1";"";"";"";;
;;;"P'yonjong";;;;;;;"LEXICON_00002413";"NT";"Musical instruments";"Standard";"";"";"Pyonjong";"";"0";;;;;
;;;"Resting bell";;;;;;;"LEXICON_00006318";"NT";"Musical instruments";"Standard";"";"";"Musical bowl;Singing bowl";"LEXICON_00000029";"501";"";"";"";;
;;;"Ritual scepter";;;;;;;"LEXICON_00008397";"NT";"Musical instruments";"Standard";"A ritual music tool; made of a handle (wrapped with string) with three branches, each with a clapper bell; an attribute of ritual wedding figures (marshal, best men); used in the Lubelskie province, Poland; it was shaken to produce ringing to accompany singing";"";"Marszelnik";"LEXICON_00000039";"0";"";"";"";"";
;;;"Semakkalam";;;;;;;"LEXICON_00004887";"NT";"Musical instruments";"Standard";"";"";"Semmakkalam";"";"9";"";"";"";;
;;;"Shepherd's bell";;;;;;;"LEXICON_00008374";"NT";"Musical instruments";"Standard";"Bell hung on sheep’s neck as a signalization (formerly also for apotropaic purposes)";"";"";"LEXICON_00000032";"0";"";"";"";"";
;;;"Single bell";;;;;;;"LEXICON_00005686";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000028";"0";"";"";"";;
;;;"Skrabalas";;;;;;;"LEXICON_00005356";"NT";"Musical instruments";"Standard";"";"";"";"";"1";"";"";"";;
;;;"Sleigh bell";;;;;;;"LEXICON_00002415";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000046";"5";;;;;
;;;"Tchikounda";;;;;;;"LEXICON_00008318";"NT";"Musical instruments";"Standard";"Wooden double bell of the Kongo-Vili people in the Kouilou region near the Atlantic coast in the Republic of the Congo. Geometrical decoration engraved and burned. Used by the Nganga, healer and spiritualist, the hourglass shaped double bell is liked to Nkisi cult worship and is used during songs and dances to treat the ill. It is also played during twin birth ceremonies";"";"Kunda;Tchikunda";"LEXICON_00005536";"14";"";"";"";"";
;;;"Tribu";;;;;;;"LEXICON_00005387";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000032";"2";"";"";"";;
;;;"Tubular bell";;;;;;;"LEXICON_00002416";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000021";"8";;;;;
;;;"T'ukchong";;;;;;;"LEXICON_00002417";"NT";"Musical instruments";"Standard";"";"";"Tukjong";"";"0";;;;;
;;;"Ushinarashi";;;;;;;"LEXICON_00005491";"NT";"Musical instruments";"Standard";"";"";"";"";"8";"";"";"";;
;;;"Wadjira";;;;;;;"LEXICON_00005503";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000032";"7";"";"";"";;
;;;"Washint";;;;;;;"LEXICON_00002419";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000032";"1";"";"";"";;
;;;"Windbell";;;;;;;"LEXICON_00005728";"NT";"Musical instruments";"Standard";"";"";"";"";"3";"";"";"";;
;;;"Woodblock";;;;;;;"LEXICON_00005700";"NT";"Musical instruments";"Standard";"";"";"Wood block";"LEXICON_00000035";"23";"";"";"";;
;;;"Yinqing";;;;;;;"LEXICON_00005382";"NT";"Musical instruments";"Standard";"";"";"";"";"0";"";"";"";;
;;;"Zan";;;;;;;"LEXICON_00006993";"NT";"Musical instruments";"Standard";"Strung rattles made of folded palmleaves";"";"";"LEXICON_00000041";"2";"";"";"";"";
;;;"Zang";;;;;;;"LEXICON_00006364";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00005536";"0";"";"";"";;
;;"Castanets";;;;;;;;"LEXICON_00002420";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000009";"0";;;;;
;;;"Cap ke";;;;;;;"LEXICON_00002421";"NT";"Musical instruments";"Standard";"";"";"Cai cap ke";"LEXICON_00000004";"5";;;;;
;;;"Castanets";;;;;;;"LEXICON_00002423";"NT";"Musical instruments";"Standard";"";"";"Castañetas;Castañolas;Castañuelas";"LEXICON_00000009";"287";;;;;
;;;"Kalenang";;;;;;;"LEXICON_00005244";"NT";"Musical instruments";"Standard";"";"";"";"";"1";"";"";"";;
;;;"Tajeraste";;;;;;;"LEXICON_00005367";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000009";"0";"";"";"";;
;;"Clappers";;;;;;;;"LEXICON_00002424";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000004";"0";;;;;
;;;"Batte d'arlequin";;;;;;;"LEXICON_00006267";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000006";"11";"";"French";"";;
;;;"Bones";;;;;;;"LEXICON_00002425";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000005";"7";;;;;
;;;"Cai ban nhac";;;;;;;"LEXICON_00006636";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000006";"0";"";"";"";;
;;;"Capra";;;;;;;"LEXICON_00004661";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000006;LEXICON_00000046";"4";"";"";"";;
;;;"Chlefeli";;;;;;;"LEXICON_00004923";"NT";"Musical instruments";"Standard";"";"";"";"";"2";"";"";"";;
;;;"Cimta";;;;;;;"LEXICON_00004851";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000006";"0";"";"";"";;
;;;"Clappers";;;;;;;"LEXICON_00002426";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000006";"389";;;;;
;;;"Claquoir";;;;;;;"LEXICON_00002427";"NT";"Musical instruments";"Standard";"";"";"";"";"7";"";"";"";;
;;;"Gandi";;;;;;;"LEXICON_00002428";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000014";"0";;;;;
;;;"Grap saypha";;;;;;;"LEXICON_00005225";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000005";"0";"";"";"";;
;;;"Hammer clapper";;;;;;;"LEXICON_00004819";"NT";"Musical instruments";"Standard";"";"";"Charfreitags Holzklapper";"LEXICON_00000017";"0";"";"";"";;
;;;"Hanske knap";;;;;;;"LEXICON_00004662";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000009";"1";"";"";"";;
;;;"Kasik ";;;;;;;"LEXICON_00006786";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000009";"5";"";"";"";;
;;;"Kemanak";;;;;;;"LEXICON_00005513";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000008";"9";"";"";"";;
;;;"Khartal";;;;;;;"LEXICON_00002429";"NT";"Musical instruments";"Standard";"";"";"Kartal";"LEXICON_00000005";"2";;;;;
;;;"Knaptand";;;;;;;"LEXICON_00004663";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000009";"0";"";"";"";;
;;;"Matraca";;;;;;;"LEXICON_00004581";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000054";"14";"";"";"";;
;;;"Matraqueta";;;;;;;"LEXICON_00004821";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000017";"2";"";"";"";;
;;;"N'tsiba";;;;;;;"LEXICON_00008324";"NT";"Musical instruments";"Standard";"Bell of the Teke people in the Cuvette and Plateaux region of Republic of the Congo. Made of buffle horns";"";"";"LEXICON_00000004";"2";"";"";"";"";
;;;"Paiban";;;;;;;"LEXICON_00002430";"NT";"Musical instruments";"Standard";"";"";"Ban;Cha-pan;Muban;Pai-ban;Shuban;Tanban;Tchong-tou";"LEXICON_00000005";"32";;;;;
;;;"Pak";;;;;;;"LEXICON_00002433";"NT";"Musical instruments";"Standard";"";"";"";"";"4";;;;;
;;;"Palipal";;;;;;;"LEXICON_00005317";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000007";"2";"";"";"";;
;;;"Phach";;;;;;;"LEXICON_00004951";"NT";"Musical instruments";"Standard";"";"";"";"";"2";"";"";"";;
;;;"Phal";;;;;;;"LEXICON_00004885";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000005";"5";"";"";"";;
;;;"Sanh";;;;;;;"LEXICON_00006322";"NT";"Musical instruments";"Standard";"";"";"Cai chac;Cai hac";"LEXICON_00000005";"7";"";"";"";;
;;;"Sanqioban";;;;;;;"LEXICON_00005342";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000006";"0";"";"";"";;
;;;"Scabellum";;;;;;;"LEXICON_00002434";"NT";"Musical instruments";"Standard";"";"";"";"";"0";;"Latin";;;
;;;"Shakubyoshi";;;;;;;"LEXICON_00002435";"NT";"Musical instruments";"Standard";"";"";"Schaku-bioschi";"";"0";;;;;
;;;"Shkashek";;;;;;;"LEXICON_00002436";"NT";"Musical instruments";"Standard";"";"";"Karabib;Qarqab";"LEXICON_00000006";"23";;;;;
;;;"Sinh tien";;;;;;;"LEXICON_00002439";"NT";"Musical instruments";"Standard";"";"";"Cai xinh tien";"";"19";;;;;
;;;"Spoons";;;;;;;"LEXICON_00006787";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000008";"0";"";"";"";;
;;;"Toka";;;;;;;"LEXICON_00002442";"NT";"Musical instruments";"Standard";"";"";"";"";"0";;;;;
;;;"Troccola";;;;;;;"LEXICON_00004665";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000017";"9";"";"";"";;
;;;"Va let kyot";;;;;;;"LEXICON_00005386";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000007";"0";"";"";"";;
;;;"Walet-hkok";;;;;;;"LEXICON_00002443";"NT";"Musical instruments";"Standard";"";"";"";"";"0";;"Burmese";;;
;;;"Whip";;;;;;;"LEXICON_00002444";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000004";"24";;;;;
;;;"Yotsudake";;;;;;;"LEXICON_00002445";"NT";"Musical instruments";"Standard";"";"";"Yotsu-dake";"";"6";;;;;
;;;"Zhong";;;;;;;"LEXICON_00002447";"NT";"Musical instruments";"Standard";"";"";"Bo;Chung;Chuong;Tchong;Té-tchong";"";"21";;;;;
;;"Cymbals";;;;;;;;"LEXICON_00002451";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000010";"0";;;;;
;;;"Bhusyah";;;;;;;"LEXICON_00005424";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000010";"0";"";"";"";;
;;;"Bo";;;;;;;"LEXICON_00002452";"NT";"Musical instruments";"Standard";"";"";"Seaou-po";"LEXICON_00000010";"7";;;;;
;;;"Chabara";;;;;;;"LEXICON_00002454";"NT";"Musical instruments";"Standard";"";"";"Chegum;Hyangbal;Pal;Tongbal;Yobal";"LEXICON_00000010";"3";;;;;
;;;"Chap";;;;;;;"LEXICON_00002460";"NT";"Musical instruments";"Standard";"";"";"Charp";"LEXICON_00000010";"1";;;;;
;;;"Ching";;;;;;;"LEXICON_00002462";"NT";"Musical instruments";"Standard";"";"";"Kum;Kumna;Na;Taegum";"";"6";;;;;
;;;"Choke cymbal";;;;;;;"LEXICON_00002467";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000010";"2";;;;;
;;;"Chum choe";;;;;;;"LEXICON_00002468";"NT";"Musical instruments";"Standard";"";"";"";"";"2";;;;;
;;;"Crash cymbal";;;;;;;"LEXICON_00002469";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000010";"3";;;;;
;;;"Crotales";;;;;;;"LEXICON_00002470";"NT";"Musical instruments";"Standard";"";"";"Crotale";"";"8";"";"";"";;
;;;"Cymbals";;;;;;;"LEXICON_00002471";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000008;LEXICON_00000010";"494";;;;;
;;;"Dobachi";;;;;;;"LEXICON_00004930";"NT";"Musical instruments";"Standard";"";"";"";"";"4";"";"";"";;
;;;"Dobatsu";;;;;;;"LEXICON_00002472";"NT";"Musical instruments";"Standard";"";"";"Hachi;Nihoihagi;Nyoohachi";"";"3";;;;;
;;;"Jhalica";;;;;;;"LEXICON_00005242";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000010";"4";"";"";"";;
;;;"Kangsi";;;;;;;"LEXICON_00005243";"NT";"Musical instruments";"Standard";"";"";"";"";"1";"";"";"";;
;;;"Kartal";;;;;;;"LEXICON_00002475";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000010";"4";;;;;
;;;"Kasat";;;;;;;"LEXICON_00002476";"NT";"Musical instruments";"Standard";"";"";"Kass";"LEXICON_00000010";"7";;;;;
;;;"Kecer";;;;;;;"LEXICON_00005506";"NT";"Musical instruments";"Standard";"";"";"Ketjer";"LEXICON_00000010";"8";"";"";"";;
;;;"Mandira";;;;;;;"LEXICON_00004880";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000010";"4";"";"";"";;
;;;"Manjira";;;;;;;"LEXICON_00002478";"NT";"Musical instruments";"Standard";"";"";"";"";"16";;;;;
;;;"Penzhong";;;;;;;"LEXICON_00006681";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000010";"0";"";"";"";;
;;;"Rincik";;;;;;;"LEXICON_00005334";"NT";"Musical instruments";"Standard";"";"";"Ceng-ceng;Tjé tjé";"LEXICON_00000010";"16";"";"";"";;
;;;"Rol-mo";;;;;;;"LEXICON_00002479";"NT";"Musical instruments";"Standard";"";"";"";"";"11";;;;;
;;;"Sajat";;;;;;;"LEXICON_00002480";"NT";"Musical instruments";"Standard";"";"";"Sagat";"LEXICON_00000010";"6";;;;;
;;;"Sanj";;;;;;;"LEXICON_00002482";"NT";"Musical instruments";"Standard";"";"";"Zinj";"";"4";;;;;
;;;"Sbub-chal";;;;;;;"LEXICON_00002484";"NT";"Musical instruments";"Standard";"";"";"Sbug-chal;Sbug-chol";"";"1";;;;;
;;;"Sichyah";;;;;;;"LEXICON_00005351";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000010";"3";"";"";"";;
;;;"Silnen";;;;;;;"LEXICON_00005489";"NT";"Musical instruments";"Standard";"";"";"";"";"4";"";"";"";;
;;;"Sil-snyan";;;;;;;"LEXICON_00002487";"NT";"Musical instruments";"Standard";"";"";"Silnyen";"";"4";;;;;
;;;"Sizzle cymbal";;;;;;;"LEXICON_00002488";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000010";"2";;;;;
;;;"Sock cymbal";;;;;;;"LEXICON_00002489";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000010";"4";;;;;
;;;"Tah";;;;;;;"LEXICON_00005365";"NT";"Musical instruments";"Standard";"";"";"";"";"2";"";"";"";;
;;;"Tahca";;;;;;;"LEXICON_00005366";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000010";"3";"";"";"";;
;;;"Talam";;;;;;;"LEXICON_00005372";"NT";"Musical instruments";"Standard";"";"";"";"";"9";"";"";"";;
;;;"Than lvin";;;;;;;"LEXICON_00005384";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000010";"2";"";"";"";;
;;;"Ting-ting shags";;;;;;;"LEXICON_00002490";"NT";"Musical instruments";"Standard";"";"";"Tingsha;Ting-shags;Tin-tin-sags";"";"4";;;;;
;;;"Zang";;;;;;;"LEXICON_00005639";"NT";"Musical instruments";"Standard";"";"";"";"LEXICON_00000010";"1";"";"";"";;
;;;"Zil";;;;;;;"LEXICON_00002492";"NT";"Musical instruments";"Standard";"";"";"";"";"0";;;;;
;;"Drum set";;;;;;;;"LEXICON_00005702";"NT";"Musical instruments";"Standard";"";"";"";"";"0";"";"";"";;
;;;"Drum set";;;;;;;"LEXICON_00005703";"NT";"Musical instruments";"Standard";"";"";"";"";"16";"";"";"";;
;;"Drums";;;;;;;;"LEXICON_00002493";"NT";"Musical instruments";"Standard";"";"";"";"";"25";;;;;
;;;"Adedemma";;;;;;;"LEXICON_00005138";"NT";"Musical instruments";"Standard";"";"";"";"";"1";"";"";"";;
;;;"Adufe";;;;;;;"LEXICON_00002494";"NT";"Musical instruments";"Standard";"";"";"";"";"5";;;;;
;;;"Agual";;;;;;;"LEXICON_00002495";"NT";"Musical instruments";"Standard";"";"";"Agwal";"";"3";;;;;
;;;"Aki";;;;;;;"LEXICON_00006936";"NT";"Musical instruments";"Standard";"Idiophone drum from the Fulsé people in the Pobé Mengao department of Burkina Faso. Made from a gourd cut in two and carved out";"";"";"LEXICON_00000022";"1";"";"";"";"";
;;;"Akilwa";;;;;;;"LEXICON_00006937";"NT";"Musical instruments";"Standard";"Kettle drum from the Tamasheq people in the Northern Gorom Gorom department of Burkina Faso";"";"Akiliwa";"LEXICON_00000098";"1";"";"";"";"";
;;;"Angoho";;;;;;;"LEXICON_00008369";"NT";"Musical instruments";"Standard";"Compact large single-headed cylindrical drum with feet carved out of the base, and which is beated with a stick. Played by of the Mbosi-Koyo people in the Cuvette region of Republic of the Congo. Geometrical engravings decorate the body. Used in the Odaki (OdaKé) lovers dance, and in the Ekongo warriors dance";"";"";"LEXICON_00000103";"10";"";"";"";"";
;;;"Apentemma";;;;;;;"LEXICON_00005142";"NT";"Musical instruments";"Standard";"";"";"";"";"1";"";"";"";;
