Identifier;Level_1;Level_2;Level_3;Synonyms;YOUR LANGUAGE;Synonyms (YOUR LANGUAGE) ;H&S link;Nb of instruments;Définition;Original language;URI_DBPEDIA
LEXICON_00002916;;;Ikembe;Ikimbe;;;LEXICON_00000066;3;;;
LEXICON_00002918;;;Ilimba;;;;LEXICON_00000067;1;;;
LEXICON_00002919;;;Insimbi;;;;LEXICON_00000066;3;;;
LEXICON_00002920;;;Kadimba;;;;;0;;;
LEXICON_00002921;;;Kakolondondo;Kisansi;;;LEXICON_00000066;9;;;
LEXICON_00002923;;;Kalimba;Karimba;;;LEXICON_00000068;45;;;
LEXICON_00002925;;;Kankobela;Kankobele;;;;0;;;
LEXICON_00002927;;;Kisaanj;Kisanzi;;;;1;;;
LEXICON_00005264;;;Kondi;;;;;1;;;
LEXICON_00002929;;;Kyanya;;;;;0;;;
LEXICON_00002930;;;Lamellaphone;Lamellophone ;;;"LEXICON_00000067;LEXICON_00000068;LEXICON_00006421";968;;;
LEXICON_00002933;;;Likembe;Zanza;;;LEXICON_00000067;28;;;
LEXICON_00002935;;;Madaku;;;;LEXICON_00000067;2;;;
LEXICON_00002936;;;Madiumba;;;;LEXICON_00000066;2;;;
LEXICON_00002937;;;Marimba;;;;LEXICON_00000066;0;;;
LEXICON_00002938;;;Marimbula;;;;;0;;;
LEXICON_00002939;;;Mbira;;;;LEXICON_00000066;35;;;
LEXICON_00002940;;;Modeku;;;;LEXICON_00000067;0;;;
LEXICON_00002941;;;Myonga;;;;LEXICON_00000066;1;;;
LEXICON_00002942;;;Sanza;"Sandza;Sansa";;;;33;;;
LEXICON_00005418;;;Setinkane;;;;;4;;;
LEXICON_00002945;;;Timbrh;"Timbr;Tmbr";;;LEXICON_00000067;5;;;
LEXICON_00002948;;;Tsimbi;;;;LEXICON_00000067;2;;;
LEXICON_00002949;;Lithophones;;;;;;0;;;
LEXICON_00002950;;;Bianqing;"Piänking;Pien ch'ing;Pien-ch'ing;Shibianqing";;;;1;;;
LEXICON_00002952;;;Lithophone;Lithophon;;;;3;;;
LEXICON_00002955;;;P'yon'gyong;"Pyon gyong;Pyongyong";;;;0;;;
LEXICON_00002958;;;Qing;"Ch'ing;Schi-king;Te ch'ing;Teqing;Tse-king";;;;10;;;
LEXICON_00002963;;;T'ukkyong;Tukgyong;;;;0;;;
LEXICON_00002965;;Metallophones ;;;;;;0;;;
LEXICON_00004544;;;Anvil;;;;LEXICON_00000016;5;;;
LEXICON_00005766;;;Celesta;;;;;11;;;
LEXICON_00002966;;;Chime bar;;;;"LEXICON_00000017;LEXICON_00000018";5;;;
LEXICON_00004906;;;Gender;;;;;7;;;
LEXICON_00002967;;;Glass glockenspiel;;;;LEXICON_00000018;1;;;
LEXICON_00002968;;;Glockenspiel;;;;LEXICON_00000018;51;;;
LEXICON_00006660;;;Harpeal;;;;;2;;;
LEXICON_00005240;;;Jegogan;;;;;2;;;
LEXICON_00002969;;;Kane;;;;;0;;;
LEXICON_00005247;;;Kantilan;;;;;4;;;
LEXICON_00005248;;;Kenyir;;;;LEXICON_00000015;7;;;
LEXICON_00002970;;;Lyra glockenspiel;;;;LEXICON_00000018;4;;;
LEXICON_00002971;;;Metallophone;;;;;155;;;
LEXICON_00006677;;;Ocleal;;;;;1;;;
LEXICON_00006680;;;Orpheal;;;;;2;;;
LEXICON_00002972;;;Panghyang;;;;;0;;;
LEXICON_00005316;;;Penyacah;;;;LEXICON_00000015;4;;;
LEXICON_00005345;;;Saron;;;;;33;;;
LEXICON_00002973;;;Saron barung;;;;LEXICON_00000018;16;;;
LEXICON_00002974;;;Saron demung;;;;LEXICON_00000018;15;;;
LEXICON_00002975;;;Saron panerus;Panerus;;;LEXICON_00000018;11;;;
LEXICON_00005346;;;Saron peking;;;;LEXICON_00000018;3;;;
LEXICON_00005347;;;Saron ricik;;;;LEXICON_00000018;7;;;
LEXICON_00005348;;;Saron slentem;;;;;3;;;
LEXICON_00002976;;;Slentem;;;;;0;;;
LEXICON_00002977;;;Slento;;;;;4;;;
LEXICON_00002978;;;Steel drum;"Pan;Steel pan;Steeldrum;Tenorpan";;;;50;;;
LEXICON_00002983;;;Thali;;;;;2;;;
LEXICON_00002984;;;Tubaphone;;;;LEXICON_00000021;5;;;
LEXICON_00002985;;;Vibraphone;;;;LEXICON_00000018;2;;;
LEXICON_00002988;;Others;;;;;;0;;;
LEXICON_00005149;;;Balingbing;;;;LEXICON_00000007;5;;;
LEXICON_00005150;;;Bangibang;;;;LEXICON_00000014;4;;;
LEXICON_00005152;;;Bantula;;;;LEXICON_00000020;1;;;
LEXICON_00005472;;;Bukhsa;Bursa;;;;0;;;
LEXICON_00002809;;;Canh;Cai canh;;;"LEXICON_00000017;LEXICON_00000024";3;;;
LEXICON_00006784;;;Ch'uk;Chuc;;;LEXICON_00000022;0;;;
LEXICON_00002989;;;Claves;;;;LEXICON_00000005;16;;;
LEXICON_00004926;;;Cricri;;;;;4;;;
LEXICON_00004834;;;Distinette;;;;LEXICON_00000058;4;;;
LEXICON_00006282;;;Duri dana;"da'uli-da'uli;Druri dana;Duri";;;LEXICON_00000020;3;;;
LEXICON_00006623;;;Electronic percussion;;;;LEXICON_00006185;5;;;
LEXICON_00002990;;;Flexatone;;;;LEXICON_00006208;3;;;
LEXICON_00004863;;;Ghari;;;;LEXICON_00000017;3;;;
LEXICON_00005226;;;Gumanak;;;;;1;;;
LEXICON_00004835;;;Hammer;;;;LEXICON_00000013;6;;;
LEXICON_00005230;;;Hsaing-waing;;;;;0;;;
LEXICON_00004876;;;Kashtha tarang;;;;LEXICON_00000015;1;;;
LEXICON_00005250;;;Kasuk;;;;;0;;;
LEXICON_00002837;;;Kyi-zi;;;;LEXICON_00000017;4;;;
LEXICON_00006309;;;Launut;;;;LEXICON_00000078;3;;;
LEXICON_00005297;;;Mugu;;;;LEXICON_00000020;1;;;
LEXICON_00005649;;;Musical waterpot;;;;;0;;;
LEXICON_00005298;;;Ndingo;;;;LEXICON_00000003;2;;;
LEXICON_00005315;;;Pattung;;;;LEXICON_00000014;1;;;
LEXICON_00005659;;;Percussion plaque;;;;LEXICON_00000017;52;;;
LEXICON_00002991;;;Percussion stick;;;;;44;;;
LEXICON_00002993;;;Percussion tube;;;;LEXICON_00000019;49;;;
LEXICON_00005853;;;Percussion vessel;;;;LEXICON_00000022;7;;;
LEXICON_00002995;;;Pi phat;Piphat;;;;0;;;
LEXICON_00002997;;;Pinpeat;;;;;0;;;
LEXICON_00004836;;;Plucked idiophone;;;;LEXICON_00000057;3;;;
LEXICON_00004960;;;Quitiplas;;;;;4;;;
LEXICON_00002998;;;Rain machine;;;;LEXICON_00000003;2;;;
LEXICON_00005505;;;Selokkat;;;;;0;;;
LEXICON_00002999;;;Semantron;"Semandron;Simandron";;;;0;;;
LEXICON_00003003;;;Shantu;;;;;0;;;
LEXICON_00006686;;;Struck idiophone;;;;LEXICON_00000002;6;;;
LEXICON_00003004;;;Tavoletta;;;;;0;;Italian;
LEXICON_00005385;;;Tintinca;;;;LEXICON_00000014;3;;;
LEXICON_00004972;;;Toa;;;;;1;;;
LEXICON_00003005;;;Triangle;;;;LEXICON_00000014;37;;;
LEXICON_00003006;;;Txalaparta;;;;;0;;Basque;
LEXICON_00003007;;;Wind machine;;;;LEXICON_00000003;1;;;
LEXICON_00003008;;;Zhu;"Chu;Tschu";;;;0;;;
LEXICON_00003010;;Ratchets;;;;;;0;;;
LEXICON_00003011;;;Ratchet;;;;LEXICON_00000054;113;;;
LEXICON_00003012;;Rattles;;;;;;0;;;
LEXICON_00005848;;;Andzolo;;;;LEXICON_00000046;5;;;
LEXICON_00003013;;;Angklung;;;;LEXICON_00000045;36;;;
LEXICON_00005688;;;Ankle rattle;;;;LEXICON_00000046;0;;;
LEXICON_00003014;;;Anzona;;;;LEXICON_00000046;2;;;
LEXICON_00006266;;;Arbu;;;;LEXICON_00000041;2;;;
LEXICON_00003015;;;Assa muta chati;Assa mouta chatih;;;LEXICON_00000042;4;;;
LEXICON_00003017;;;Atamo;Atâmo;;;LEXICON_00000046;0;;;
LEXICON_00005147;;;Axatse;;;;;0;;;
LEXICON_00003019;;;Azibwazi;Azibwasi;;;LEXICON_00000041;4;;;
LEXICON_00004772;;;Bordon as ones;Bordon as onès;;;LEXICON_00000042;3;;;
LEXICON_00006634;;;Cabaca;;;;LEXICON_00000046;2;;;
LEXICON_00004580;;;Cascabel;;;;LEXICON_00000046;18;;;
LEXICON_00005167;;;Caxixi;;;;LEXICON_00000046;0;;;
LEXICON_00004921;;;Ch'ajch'as;;;;;1;;;
LEXICON_00004922;;;Chocalho;;;;;1;;;
LEXICON_00006281;;;Cimta;;;;LEXICON_00000039;0;;;
LEXICON_00003020;;;Dibu dimbwa;;;;LEXICON_00000046;0;;;
LEXICON_00003021;;;Ga;;;;LEXICON_00000046;2;;;
LEXICON_00005210;;;Ganza;;;;LEXICON_00000046;0;;;
LEXICON_00005520;;;Gulung-gulung;;;;LEXICON_00000046;1;;;
LEXICON_00004620;;;Gurra;;;;LEXICON_00000046;2;;;
LEXICON_00003022;;;Ifambu;;;;LEXICON_00000041;2;;;
LEXICON_00004871;;;Jhinka;;;;LEXICON_00000045;1;;;
LEXICON_00004621;;;Kanyahte'ka'nowa;Turtle-shell rattle;;;LEXICON_00000046;2;;;
LEXICON_00005249;;;Karatali;;;;LEXICON_00000043;0;;;
LEXICON_00006037;;;Kartal;;;;;0;;;
LEXICON_00004623;;;Katana;;;;LEXICON_00000046;1;;;
LEXICON_00003023;;;Kauaha;Quijada;;;;0;;;
LEXICON_00003025;;;Kayambi;"Caiambe;Kaiamb;Kayambe;Kayann";;;;0;;;
LEXICON_00006307;;;Kulu;;;;LEXICON_00000046;1;;;
LEXICON_00003030;;;Legwegwe;;;;LEXICON_00000046;2;;;
LEXICON_00005877;;;Lengwow;;;;;1;;;
LEXICON_00004877;;;Lezim;;;;;2;;;
LEXICON_00003031;;;Maracas;;;;LEXICON_00000046;17;;;
LEXICON_00003032;;;Maruga;;;;;0;;;
LEXICON_00003033;;;Muswai;;;;;0;;;
LEXICON_00006676;;;Nhac;;;;LEXICON_00000046;3;;;
LEXICON_00002411;;;Nzoro;Nzolo;;;LEXICON_00000046;0;;;
LEXICON_00003034;;;Qachel;Qâkel;;;LEXICON_00000041;1;;;
LEXICON_00005689;;;Raft rattle;;;;LEXICON_00000046;23;;;
LEXICON_00006827;;;Rainstick;;;;LEXICON_00000046;0;;;
LEXICON_00006142;;;Rangle;;;;LEXICON_00000039;3;;;
LEXICON_00003036;;;Rattle;;;;LEXICON_00000039;1405;;;
LEXICON_00006321;;;Rin-no-tama;;;;LEXICON_00000046;2;;;
LEXICON_00003037;;;Sanasel;;;;LEXICON_00000045;4;;;
LEXICON_00005449;;;Segbureh;"Segbura;Shengureh";;;LEXICON_00000046;0;;;
LEXICON_00003038;;;Sekere;"Chekere;Shekere";;;LEXICON_00000043;1;;;
LEXICON_00003041;;;Sesheh;;;;LEXICON_00000045;3;;;
LEXICON_00005009;;;Shakujo;;;;;1;;;
LEXICON_00003042;;;Sistrum;;;;;29;;;
LEXICON_00004624;;;Sonaja;Quiaquia;;;LEXICON_00000046;21;;;
LEXICON_00006798;;;Stick rattle;;;;LEXICON_00000042;0;;;
LEXICON_00003043;;;Swanga;Nkwanga;;;LEXICON_00000046;1;;;
LEXICON_00003045;;;Taga;;;;LEXICON_00000044;2;;;
LEXICON_00004973;;;Towa;;;;;1;;;
LEXICON_00006695;;;Vessel rattle;;;;LEXICON_00000046;270;;;
LEXICON_00004974;;;Vibra-slap;;;;;1;;;
LEXICON_00004626;;;Wada;;;;LEXICON_00000046;4;;;
LEXICON_00003046;;;Wasamba;;;;LEXICON_00000042;2;;;
LEXICON_00003047;;Scrapers;;;;;;0;;;
LEXICON_00003048;;;Dikwakasa;Dikwasa;;;;0;;;
LEXICON_00006819;;;Ferrinho;;;;LEXICON_00000050;0;;;
LEXICON_00005218;;;Ghol;;;;LEXICON_00000042;0;;;
LEXICON_00003050;;;Guachara;Guacharaca;;;;0;;;
LEXICON_00003052;;;Guiro;Guayo;;;LEXICON_00000053;18;;;
LEXICON_00003054;;;Kenyen;;;;LEXICON_00000052;4;;;
LEXICON_00004627;;;Omichicahuaztli;;;;;7;;;
LEXICON_00003055;;;Pandola;;;;;0;;Italian;
LEXICON_00005332;;;Reco-reco;Recoreco;;;LEXICON_00000052;10;;;
LEXICON_00004773;;;Reque reque;;;;LEXICON_00000049;2;;;
LEXICON_00006702;;;Scraped idiophone;;;;LEXICON_00000048;17;;;
LEXICON_00003056;;;Scraped stick;;;;LEXICON_00000049;13;;;
LEXICON_00006703;;;Scraped tube;;;;LEXICON_00000052;4;;;
LEXICON_00003057;;;Scraped vessel;;;;LEXICON_00000053;9;;;
LEXICON_00003058;;;Scraper;;;;;57;;;
LEXICON_00005504;;;Slentem;;;;;0;;;
LEXICON_00006799;;;Tagutok;;;;LEXICON_00000052;1;;;
LEXICON_00003060;;;Washboard;;;;LEXICON_00000055;3;;;
LEXICON_00003061;;;Yu;Jü;;;LEXICON_00000053;0;;;
LEXICON_00003062;;Xylophones;;;;;LEXICON_00000015;0;;;
LEXICON_00003063;;;Balafon;"Bala;Balafo;Balafou";;;LEXICON_00000015;23;;;
LEXICON_00003067;;;Bolange;"Balangi;Balangie;Balangy";;;LEXICON_00000015;10;;;
LEXICON_00005658;;;Calon;;;;;1;;;
LEXICON_00004920;;;Calung;;;;;5;;;
LEXICON_00005174;;;Chinzumana;;;;;1;;;
LEXICON_00003070;;;Claquebois;;;;;3;;;
LEXICON_00003071;;;Dan krong-put;;;;;0;;;
LEXICON_00003072;;;Dan t'rung;;;;;2;;;
LEXICON_00005192;;;Dibhinda;;;;LEXICON_00000015;2;;;
LEXICON_00005205;;;Gabbang;;;;;21;;;
LEXICON_00003073;;;Gambang;;;;LEXICON_00000015;17;;;
LEXICON_00005206;;;Garantung;;;;;4;;;
LEXICON_00005224;;;Grantang;;;;;7;;;
LEXICON_00003075;;;Kilangay;;;;;0;;;
LEXICON_00003076;;;Madimba;Madinda;;;LEXICON_00000015;7;;;
LEXICON_00003078;;;Manza;Manza dongere;;;LEXICON_00000018;5;;;
LEXICON_00003079;;;Marimba;;;;LEXICON_00000018;2;;;
LEXICON_00003080;;;Mbila;Timbila;;;;1;;;
LEXICON_00003082;;;Mendzan;"Medzang;Mendjan;Mendzang;Menjyang";;;;0;;;
LEXICON_00003087;;;Mokkin;;;;;3;;;
LEXICON_00005313;;;Pat-tala;Pattala;;;LEXICON_00000015;10;;;
LEXICON_00003088;;;Ranat;"Ranat ayk;Ranat ek;Ranat lek;Ranat thum;Roneat";;;LEXICON_00000015;7;;;
LEXICON_00005340;;;Sanje;;;;LEXICON_00000015;2;;;
LEXICON_00004783;;;Strohfiedel;;;;LEXICON_00000018;8;;;
LEXICON_00003092;;;Valimba;"Bachi;Madudu;Mambira;Ngambi;Ulimba;Varimba";;;;3;;;
LEXICON_00003099;;;Xylophone;Xylofon;;;LEXICON_00000015;308;;;
LEXICON_00003100;;;Zanga;;;;LEXICON_00000002;1;;Gbaya;
LEXICON_00003101;Stringed instruments;;;Strings;;;;0;;;
LEXICON_00003102;;Citterns;;;;;;0;;;
LEXICON_00003103;;;Arch harp-lute;;;;LEXICON_00006471;2;;;
LEXICON_00003104;;;Archcittern;;;;"LEXICON_00000204;LEXICON_00000205;LEXICON_00000206";54;;;
LEXICON_00003105;;;Ceterone;;;;LEXICON_00000206;0;;;
LEXICON_00004925;;;Cithrinchen;;;;LEXICON_00000206;3;;;
LEXICON_00003106;;;Cittern;;;;LEXICON_00000206;126;;;
LEXICON_00003107;;;English guitar;"Guitarra;Guittar";;;"LEXICON_00000205;LEXICON_00006471;LEXICON_00006474";77;;;
LEXICON_00003108;;Double basses;;;;;;0;;;
LEXICON_00003109;;;Bass new violin;;;;LEXICON_00006473;0;;;
LEXICON_00003111;;;Double bass;;;;"LEXICON_00000206;LEXICON_00006471;LEXICON_00006473";105;;;
LEXICON_00004677;;;Gorduna;;;;LEXICON_00006473;2;;;
LEXICON_00003112;;;Octobass;;;;LEXICON_00000206;1;;;
LEXICON_00003113;;Fiddles;;;;;;0;;;
LEXICON_00006830;;;Akanyembe;;;;LEXICON_00000202;0;"One-stringed tube fiddle of the Makonde people in south-eastern Africa (Mozambique, Tanzania)
";;
LEXICON_00006842;;;Arababu;;;;LEXICON_00000200;0;Indonesian fiddle from Bolaang Mongondon (North Sulawesi), on the east coast of Sulawesi, and Halmahera, Maluku. Its soundboard is half a coconut shell, usually covered with a membrane of buffalo bladder ;;
LEXICON_00005143;;;Arbab;;;;LEXICON_00000200;3;Spike fiddle of the Batak Karo and Batak Toba areas in North Sumatra, Indonesia. Its spike and neck are made of wood and its gourdshaped body of coconut shell, 8 to 15 cm in diameter. The top of the neck may be decorated with a carved scroll. Two strings;;
LEXICON_00006119;;;Ardanuchi;;;;LEXICON_00000204;1;;;
LEXICON_00006843;;;Bambir;;;;LEXICON_00000206;0;A type of Armenian folk cello;;
LEXICON_00003114;;;Banam;;;;LEXICON_00006470;7;General term for single string fiddle played in central India by tribal groups;;
LEXICON_00003115;;;Banhu;"Pan-hu;Yehu";;;LEXICON_00006466;8;"Two-string fiddle of the Han Chinese; resonator is coconut or gourd, covered with wooden soundboard; it has laterally inserted tuning pegs";;
LEXICON_00003117;;;Basetlya;"Bas;Basolya";;;;0;;;
LEXICON_00006844;;;Biola;;;;LEXICON_00000206;0;Term used in Indonesia, Malaysia and the Philippines for the western violin, tuned like a viola;;
LEXICON_00006632;;;Bladder fiddle;;;;LEXICON_00006470;3;Europese volksvedel met een blaas als resonator;;
LEXICON_00003120;;;Bowed zither;Streichzither;;;;27;;;
LEXICON_00006698;;;Braci;;;;LEXICON_00006473;2;;;
LEXICON_00006699;;;Bracsa;;;;LEXICON_00006473;1;;;
LEXICON_00003121;;;Broanca;;;;;0;;;
LEXICON_00006845;;;Byzaanchy;;;;LEXICON_00000202;0;Tuvan four-stringed spike tube fiddle;;http://en.wikipedia.org/wiki/Byzaanchy
LEXICON_00006846;;;Chuniri;;;;LEXICON_00000199;0;Two- or three-stringed spike fiddle of Georgia;;
LEXICON_00003123;;;Cikara;Chikara;;;LEXICON_00006470;21;Fiddle of Rajastan, India. A pear-shaped, waisted belly, completely covered with skin, gradually tapering off into a hollowed-out neck of approximately the same length as the belly.;;
LEXICON_00006817;;;Cimboa;;;;LEXICON_00006468;0;One-stringed fiddle of West African origin, used in Cape Verde;;
LEXICON_00006700;;;Clog fiddle;;;;LEXICON_00006473;2;Folk fiddle with a clog as resonator from Sweden;;
LEXICON_00003125;;;Dan co;;;;;0;;;
LEXICON_00003126;;;Dan gao;;;;LEXICON_00006466;0;Vietnamese two-string fiddle, resonator made of coconut shell;;
LEXICON_00003127;;;Dan nhi;"Cai nhi;Câi-nhi;Dou-co";;;;13;Vietnamese two-string fiddle, similar to Chinese erhu;;
LEXICON_00006847;;;Dayuray;;;;LEXICON_00000200;0;Single-string fiddle of the Bukidnon people of the southern Philippines;;
LEXICON_00003128;;;Dilruba;"Mayuri;Taus;Ta'us";;;LEXICON_00006470;17;"Long-necked fretted fiddle from North India and Pakistan; resonator like that of a sarangi (as opposed to the esraj)";;
LEXICON_00003131;;;Dra;Dra che;;;;1;[tro] Generic term for fiddles in Cambodja;;
LEXICON_00006848;;;Dra khmer;;;;LEXICON_00000200;0;Three-string spike fiddle from Cambodja, resembles the Javanese rebab;;
LEXICON_00006849;;;Dra u;;;;LEXICON_00000200;0;Two-string spike fiddle from Cambodja, resembles the Thai so u with a resonator of coconut;;
LEXICON_00006850;;;Duruga;;;;LEXICON_00000200;0;Single-string spike fiddle of the Bissa in Burkina Faso;;
LEXICON_00003132;;;Endingidi;"Endingedi;Ndingidi";;;LEXICON_00006710;16;"Single-string spike tube fiddle of the Baganda in Uganda; often decorated with a tuft of goat hair at the top of the neck";;
LEXICON_00006853;;;Enserunai;;;;LEXICON_00000200;0;One- or two-stringed archaic spike fiddle of the Iban of Sarawak, Borneo. Its soundbox is half a gourd or coconut shell, covered with animal skin. It exists in a simple form, without any decoration, and in a more elaborate form, where the top of the neck expands into a large disc carved into a floral pattern. The performer places the body of the instrument between his toes while sitting down, the knees bent outward and the soles of the feet together. The strings are moistened to produce the proper sound. The convex bow made of wood or bamboo is held in the right hand. There are specimens in the Museum Volkenkunde in Leiden, the Metropolitan Museum in New York, the Musée des Instruments de Musique in Brussels, the Sarawak Museum in Kuching and the Musée d’ethnographie de Neuchâtel;;
LEXICON_00003134;;;Erhu;"Dahu;Gaohu;Nanhu;Örchu;Zhonghu";;;LEXICON_00006710;52;Two-stringed tube fiddle of the Han Chinese;;
LEXICON_00003139;;;Erxian;;;;;6;Two-stringed tube fiddle from Guangdong or Fujian, with wooden tubular resonator and wooden soundboard;;
LEXICON_00003140;;;Esraj;Esrar;;;LEXICON_00006470;14;Long-neck fretted fiddle from Bengal (India and Bangladesh). Soundboard pear-shaped and waisted.;;
LEXICON_00003142;;;Fiddle;;;;;150;;;
LEXICON_00006854;;;Finini;;;;LEXICON_00000200;0;Single-string spike fiddle with two holes in the soundtable from Zaghawa and Kanembu and other people in north-eastern and north-western Chad;;
LEXICON_00003143;;;Gadulka;Goudoulka;;;LEXICON_00006470;16;"Pear-shaped fiddle of Bulgaria with three strings; some have sympathetic strings";;
LEXICON_00006855;;;Garadap;;;;LEXICON_00000200;0;One- or two-stringed spike fiddle of the Dayak in Borneo;;
LEXICON_00006856;;;Gesok-gesok;;;;LEXICON_00000200;0;Spike fiddle (of the Toraja) in Sulawesi Selatan (South Sulawesi);;
LEXICON_00003145;;;Ghichak;"Gidzhak;Gijak";;;;2;"Spike fiddle of northern Afghanistan, Turkmenistan, Tajikistan, Uzbekistan; resonator may be spherical like the kamanche or made from a square tin can";French;
LEXICON_00003148;;;Ghugha;Gougue;;;LEXICON_00006466;3;"Single-string spike fiddle of the Maghreb; resembles the goge";;
LEXICON_00003150;;;Gigue;;;;;2;;;
LEXICON_00006857;;;Godié;;;;LEXICON_00000200;0;Single-string spike fiddle of Bénin;;
LEXICON_00004934;;;Goge;;;;LEXICON_00006466;3;Single-string spike fiddle with gourd resonator from Western Africa, term used by Hausa and Yoruba people in ia Nigeria and Niger;;
LEXICON_00006858;;;Gondze;;;;LEXICON_00000200;0;[gonje] Single-string spike fiddle of the Dagbamba people of Ghana;;
LEXICON_00006859;;;Gudok;;;;LEXICON_00000205;0;Ancient three-string fiddle of Russia and Belarussia with a pear-shaped body;;
LEXICON_00003151;;;Gusle;Gusla;;;LEXICON_00006470;42;Single-string fiddle of Yugoslavia, often with horse-head decoration on top of neck;;
LEXICON_00004822;;;Guslica;Guslitza;;;LEXICON_00000205;1;;;
LEXICON_00006860;;;Guslice;;;;;0;Corn stalk fiddle of Bosnia and Serbia;;
LEXICON_00005228;;;Haegum;;;;LEXICON_00006710;5;Two-stringed spike fiddle from Korea with wooden soundboard;;
LEXICON_00003154;;;Hardanger fiddle;Hardingfele;;;LEXICON_00006473;18;"Norwegian folk fiddle, resembling the violin, with 4 melody strings and 4 sympathetic strings; often elaborately decorated with geometrical and vegetal designs, with the head of a Norwegian lion or dragon on the pegbox";;
LEXICON_00004809;;;Horn fiddle;;;;;5;;;
LEXICON_00004700;;;Huibe;;;;LEXICON_00000180;1;;;
LEXICON_00006861;;;Huluhu;;;;LEXICON_00000202;0;"Two-stringed spike fiddle from China, with a resonator made from gourd; the pegbox of the one from MIM Phoenix has a 'fantasy' wooden design";;http://en.wikipedia.org/wiki/Huluhu
LEXICON_00006862;;;Hun tayàw;;;;LEXICON_00000206;0;"Fiddle from Myanmar; shaped like a violin, often a highly decorated pegbox; has become obsolete now";;
LEXICON_00006863;;;Huobusi;;;;LEXICON_00000205;0;"Ancient Chinese lute; NB in Metropolitan Museum this is described as a fiddle as it comes with a bow!";;
LEXICON_00003156;;;Huqin;"Hu kin;Huchin;Hu-Tjin;Ti-kin;Tiqin";;;LEXICON_00006468;18;Generic term for Chinese fiddle, literally 'barbarian string instrument';;
LEXICON_00006864;;;Hushtar;;;;LEXICON_00000205;0;"Fiddle of the Uyghur people (mainly from the Xinjiang Uyghur autonomous region in western China); highly decorated and often with a bird (nightingale) on the pegbox";;
LEXICON_00006865;;;Husla;;;;LEXICON_00000206;0;"Three-stringed fiddle from the Wends or Sorbs of eastern Germany and Slavonic countries; soundboard is waisted, the instrument looks like a primitive violin";;
LEXICON_00006866;;;Idonongo;;;;LEXICON_00000202;0;Single-string tube fiddle of Burundi with a soundbox made of cow horn;;
LEXICON_00004937;;;Igil;;;;LEXICON_00000206;1;Two-stringed fiddle of the Tuva people of Siberia, often with horse head on pegbox;;
LEXICON_00006867;;;Iklig;;;;LEXICON_00000200;0;Turkish fiddle, originally a gourd spike-fiddle (type of kabak = 'gourd fiddle');;
LEXICON_00003158;;;Imzad;"Amza;Amzad;Anzad;Inzad";;;LEXICON_00006466;2;Single-string spike fiddle of the Touareg in northern Africa, with a calabash resonator and often two soundholes in the membrane;;
LEXICON_00003122;;;Izeze;;;;"LEXICON_00000200;LEXICON_00000202";1;;;
LEXICON_00003162;;;Jinghu;"Erh-hsien;Hu-ch'in;Hu-hu;Ur-heen";;;LEXICON_00006710;22;"Two-string fiddle of the Han Chinese, especially from the north; smaller than erhu";;
LEXICON_00006896;;;Joza;;;;LEXICON_00000200;0;"Four-string spike fiddle of Iraq; 'joza' means coconut, and refers to the coconut resonator";;
LEXICON_00003166;;;Kamaica;"Kamaika;Kamayacha";;;LEXICON_00000205;2;Short-necked fiddle with large round soundboard from Rajasthan, played by the Manghaniyar caste;;
LEXICON_00006897;;;K'aman;;;;LEXICON_00000206;0;Fiddle from Armenia, with rectangular soundboard and 3 or 4 strings;;
LEXICON_00003169;;;Kamanche;"Kamancha;k'amancha;Kamanche aguz;Kamanttcha;Kemanche;Kemangeh;Kemenche";;;LEXICON_00006466;63;"Spike fiddle of Iran with a spherical body often inlaid with mother-of-pearl or bone; formerly three strings, modern instruments have four";;
LEXICON_00006721;;;Katjapi;;;;;2;;;
LEXICON_00004701;;;Kemençe;Fasil kemençe;;;"LEXICON_00000205;LEXICON_00000206";18;"(i) Short-necked fiddle from Turkey with a bottle-shaped soundboard and three strings; (ii) in Western Turkey the kemençe is similar to the Greek lyra with a pear shaped soundboard and three strings";;
LEXICON_00003175;;;Kementses;Pondyaki lyra;;;LEXICON_00006473;1;"The kemençe with a bottle-shaped soundboard played by Greek refugees from the Turkish Black Sea coast; also called Pontic lyra";;
LEXICON_00003177;;;Kiiki;;;;LEXICON_00005621;0;Single-string half spike fiddle from the Daza and Teda of Tibesti and Ouaddai in Chad;;
LEXICON_00003178;;;Kokyu;Kokiu;;;LEXICON_00006468;15;Japanese indigenous spike box fiddle, usually with three strings (but sometimes the highest string is doubled);;
LEXICON_00003180;;;Kundye;;;;LEXICON_00006466;2;Single-string spike fiddle of the Susu people in Guinea and Sierra Leone;;
LEXICON_00006802;;;Kutet;;;;LEXICON_00006466;2;Single-string fiddle of the southern Philippines;;
LEXICON_00004944;;;Lahute;;;;LEXICON_00000200;1;"Single-string fiddle from Albania, similar to the Gusle; in New Grove spelled as Lahutë";;
LEXICON_00003186;;;Lira;"Kemence;Lyra";;;;6;"Short-necked fiddle from Greece, with a pear-shaped body and two D-shaped soundholes in the soundboard; usually three strings";;
LEXICON_00003181;;;Lira da braccio;Lyre de bras;;;LEXICON_00006473;12;;;
LEXICON_00003183;;;Lirone;Lira da gamba;;;LEXICON_00006473;10;;;
LEXICON_00003185;;;Lokanga;;;;LEXICON_00000206;5;"Generic term for several instruments in Madagascar; here it refers to fiddles from Madagascar";;
