Identifier;Level_1;Level_2;Level_3;Synonyms;YOUR LANGUAGE;Synonyms (YOUR LANGUAGE) ;H&S link;Nb of instruments;Définition;Original language;URI_DBPEDIA
LEXICON_00005508;;;Klentong;;;;LEXICON_00000032;1;;;
LEXICON_00002409;;;Lawle;;;;;2;;;
LEXICON_00006666;;;Ling;Fengling;;;LEXICON_00000032;7;;;
LEXICON_00002410;;;Mbombu;;;;LEXICON_00000029;4;;;
LEXICON_00002687;;;Ngonge;;;;LEXICON_00000032;5;;;
LEXICON_00005655;;;Nzunzun;;;;LEXICON_00000028;1;;;
LEXICON_00002413;;;P'yonjong;Pyonjong;;;;0;;;
LEXICON_00006318;;;Resting bell;"Musical bowl;Singing bowl";;;LEXICON_00000029;151;;;
LEXICON_00004887;;;Semakkalam;Semmakkalam;;;;4;;;
LEXICON_00005686;;;Single bell;;;;LEXICON_00000028;0;;;
LEXICON_00005356;;;Skrabalas;;;;;1;;;
LEXICON_00002415;;;Sleigh bell;;;;LEXICON_00000046;3;;;
LEXICON_00005387;;;Tribu;;;;LEXICON_00000032;1;;;
LEXICON_00002416;;;Tubular bell;;;;LEXICON_00000021;8;;;
LEXICON_00002417;;;T'ukchong;Tukjong;;;;0;;;
LEXICON_00005491;;;Ushinarashi;;;;;8;;;
LEXICON_00005503;;;Wadjira;;;;LEXICON_00000032;2;;;
LEXICON_00002419;;;Washint;;;;LEXICON_00000032;0;;;
LEXICON_00005728;;;Windbell;;;;;1;;;
LEXICON_00005700;;;Woodblock;Wood block;;;LEXICON_00000035;16;;;
LEXICON_00005382;;;Yinqing;;;;;0;;;
LEXICON_00006364;;;Zang;;;;LEXICON_00005536;0;;;
LEXICON_00002420;;Castanets;;;;;LEXICON_00000009;0;;;
LEXICON_00002421;;;Cap ke;Cai cap ke;;;LEXICON_00000004;2;;;
LEXICON_00002423;;;Castanets;"Castañetas;Castañolas;Castañuelas";;;LEXICON_00000009;92;;;
LEXICON_00005244;;;Kalenang;;;;;1;;;
LEXICON_00005367;;;Tajeraste;;;;LEXICON_00000009;0;;;
LEXICON_00002424;;Clappers;;;;;LEXICON_00000004;0;;;
LEXICON_00006267;;;Batte d'arlequin;;;;LEXICON_00000006;4;;French;
LEXICON_00002425;;;Bones;;;;LEXICON_00000005;2;;;
LEXICON_00006636;;;Cai ban nhac;;;;LEXICON_00000006;0;;;
LEXICON_00004661;;;Capra;;;;"LEXICON_00000006;LEXICON_00000046";1;;;
LEXICON_00004923;;;Chlefeli;;;;;1;;;
LEXICON_00004851;;;Cimta;;;;LEXICON_00000006;0;;;
LEXICON_00002426;;;Clappers;;;;LEXICON_00000006;177;;;
LEXICON_00002427;;;Claquoir;;;;;5;;;
LEXICON_00002428;;;Gandi;;;;LEXICON_00000014;0;;;
LEXICON_00005225;;;Grap saypha;;;;LEXICON_00000005;0;;;
LEXICON_00004819;;;Hammer clapper;Charfreitags Holzklapper;;;LEXICON_00000017;0;;;
LEXICON_00004662;;;Hanske knap;;;;LEXICON_00000009;0;;;
LEXICON_00006786;;;Kasik ;;;;LEXICON_00000009;1;;;
LEXICON_00005513;;;Kemanak;;;;LEXICON_00000008;3;;;
LEXICON_00002429;;;Khartal;Kartal;;;LEXICON_00000005;1;;;
LEXICON_00004663;;;Knaptand;;;;LEXICON_00000009;0;;;
LEXICON_00004581;;;Matraca;;;;LEXICON_00000054;5;;;
LEXICON_00004821;;;Matraqueta;;;;LEXICON_00000017;2;;;
LEXICON_00002430;;;Paiban;"Ban;Cha-pan;Muban;Pai-ban;Shuban;Tanban;Tchong-tou";;;LEXICON_00000005;12;;;
LEXICON_00002433;;;Pak;;;;;3;;;
LEXICON_00005317;;;Palipal;;;;LEXICON_00000007;2;;;
LEXICON_00004951;;;Phach;;;;;1;;;
LEXICON_00004885;;;Phal;;;;LEXICON_00000005;2;;;
LEXICON_00006322;;;Sanh;"Cai chac;Cai hac";;;LEXICON_00000005;2;;;
LEXICON_00005342;;;Sanqioban;;;;LEXICON_00000006;0;;;
LEXICON_00002434;;;Scabellum;;;;;0;;Latin;
LEXICON_00002435;;;Shakubyoshi;Schaku-bioschi;;;;0;;;
LEXICON_00002436;;;Shkashek;"Karabib;Qarqab";;;LEXICON_00000006;8;;;
LEXICON_00002439;;;Sinh tien;Cai xinh tien;;;;6;;;
