Id;URI;Thesaurus;Instrument Family;Instrument Group;Instrument;Synonyms;URI Wikipedia;Remarks
LEXICON_00002399;http://www.mimo-db.eu/InstrumentsKeywords/2399;;;;Dotaku;;http://en.wikipedia.org/wiki/Dotaku;
LEXICON_00002400;http://www.mimo-db.eu/InstrumentsKeywords/2400;;;;Dril-bu;"Dril bu;Drilbu";;
LEXICON_00002401;http://www.mimo-db.eu/InstrumentsKeywords/2401;;;;Ekiro;Ekirei;;
LEXICON_00002403;http://www.mimo-db.eu/InstrumentsKeywords/2403;;;;Ghanta;;http://en.wikipedia.org/wiki/Ghanta;
LEXICON_00002404;http://www.mimo-db.eu/InstrumentsKeywords/2404;;;;Handbell;;http://en.wikipedia.org/wiki/Handbell;
LEXICON_00002406;http://www.mimo-db.eu/InstrumentsKeywords/2406;;;;Hansho;;;
LEXICON_00002407;http://www.mimo-db.eu/InstrumentsKeywords/2407;;;;Kili;;;
LEXICON_00002408;http://www.mimo-db.eu/InstrumentsKeywords/2408;;;;Kin;Dobachi;;
LEXICON_00002409;http://www.mimo-db.eu/InstrumentsKeywords/2409;;;;Lawle;;;
LEXICON_00002410;http://www.mimo-db.eu/InstrumentsKeywords/2410;;;;Mbombu;;;
LEXICON_00002413;http://www.mimo-db.eu/InstrumentsKeywords/2413;;;;P'yonjong;Pyonjong;http://en.wikipedia.org/wiki/Pyeonjong;synonyme
LEXICON_00002415;http://www.mimo-db.eu/InstrumentsKeywords/2415;;;;Sleigh bell;;http://en.wikipedia.org/wiki/Sleigh_bell;
LEXICON_00002416;http://www.mimo-db.eu/InstrumentsKeywords/2416;;;;Tubular bell;;http://en.wikipedia.org/wiki/Tubular_bell;
LEXICON_00002417;http://www.mimo-db.eu/InstrumentsKeywords/2417;;;;T'ukchong;Tukjong;;
LEXICON_00002419;http://www.mimo-db.eu/InstrumentsKeywords/2419;;;;Washint;;;
LEXICON_00002687;http://www.mimo-db.eu/InstrumentsKeywords/2687;;;;Ngonge;;;
LEXICON_00004660;http://www.mimo-db.eu/InstrumentsKeywords/4660;;;;Apertintaille;;;
LEXICON_00004864;http://www.mimo-db.eu/InstrumentsKeywords/4864;;;;Ghungru;;;
LEXICON_00004887;http://www.mimo-db.eu/InstrumentsKeywords/4887;;;;Semakkalam;Semmakkalam;;
LEXICON_00005139;http://www.mimo-db.eu/InstrumentsKeywords/5139;;;;Agongon;;;
LEXICON_00005185;http://www.mimo-db.eu/InstrumentsKeywords/5185;;;;Dawuro;;;
LEXICON_00005263;http://www.mimo-db.eu/InstrumentsKeywords/5263;;;;Klengkleng;;;
LEXICON_00005356;http://www.mimo-db.eu/InstrumentsKeywords/5356;;;;Skrabalas;;http://en.wikipedia.org/wiki/Skrabalai;A vérifier
LEXICON_00005382;http://www.mimo-db.eu/InstrumentsKeywords/5382;;;;Yinqing;;;
LEXICON_00005387;http://www.mimo-db.eu/InstrumentsKeywords/5387;;;;Tribu;;;
